[2025-04-02 03:03:02.207865] Début de l'analyse du fichier qojita.xlsx
[2025-04-02 03:34:09.377230] Traitement de 0800897263409 (Marque: NYX) - 281/1200...
[2025-04-02 03:34:12.374781] Traitement de 0800897263430 (Marque: NYX) - 282/1200...
[2025-04-02 03:34:15.406579] Traitement de 0800897264765 (Marque: NYX) - 283/1200...
[2025-04-02 03:34:17.664725] Traitement de 0800897264796 (Marque: NYX) - 284/1200...
[2025-04-02 03:34:19.920392] Traitement de 0800897265892 (Marque: NYX) - 285/1200...
[2025-04-02 03:34:30.545996] Traitement de 0800897266684 (Marque: NYX) - 286/1200...
[2025-04-02 03:34:41.252208] Traitement de 0800897266837 (Marque: NYX) - 287/1200...
[2025-04-02 03:34:51.537876] Traitement de 0800897266844 (Marque: NYX) - 288/1200...
[2025-04-02 03:35:02.447723] Traitement de 0800897267001 (Marque: NYX) - 289/1200...
[2025-04-02 03:35:09.996713] Traitement de 0800897267018 (Marque: NYX) - 290/1200...
[2025-04-02 03:35:17.956615] Traitement de 0800897267100 (Marque: NYX) - 291/1200...
[2025-04-02 03:35:29.097576] Traitement de 0800897267162 (Marque: NYX) - 292/1200...
[2025-04-02 03:35:31.362468] Traitement de 0800897815455 (Marque: NYX) - 293/1200...
[2025-04-02 03:35:41.258382] Traitement de 0800897818494 (Marque: NYX) - 294/1200...
[2025-04-02 03:35:44.608087] Traitement de 0800897824884 (Marque: NYX) - 295/1200...
